top - 19:51:25 up 51 min,  3 users,  load average: 2.26, 1.16, 0.86
Tasks: 393 total,   1 running, 392 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.6 us,  9.3 sy,  0.0 ni, 65.6 id,  0.0 wa,  6.0 hi,  2.6 si,  0.0 st
MiB Mem :  15656.1 total,   6256.2 free,   7358.0 used,   2042.0 buff/cache
MiB Swap:   7828.0 total,   7828.0 free,      0.0 used.   7982.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  21074 ghost     20   0   19.6g 382056 170368 S 100.0   2.4   1:24.61 compone+
  21076 ghost     20   0   17.6g 775304  88828 S  23.5   4.8   0:23.07 compone+
  23324 ghost     20   0 1241624  30128  13284 S  11.8   0.2   0:04.60 MicroXR+
  26777 ghost     20   0   12824   3704   2848 R  11.8   0.0   0:00.03 top
    279 root      39  19       0      0      0 S   5.9   0.0   0:05.59 nvmap-bz
    585 root      rt   0       0      0      0 S   5.9   0.0   0:08.98 sugov:0
    588 root      rt   0       0      0      0 S   5.9   0.0   0:11.22 sugov:4
      1 root      20   0  168252  11640   7388 S   0.0   0.1   0:06.62 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 S   0.0   0.0   0:01.05 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.38 rcu_pre+
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.12 migrati+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftir+
     22 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     24 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftir+
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftir+
