top - 19:54:18 up 53 min,  3 users,  load average: 2.46, 1.83, 1.19
Tasks: 402 total,   3 running, 399 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.0 us, 16.1 sy,  0.0 ni, 60.8 id,  0.0 wa,  6.3 hi,  2.8 si,  0.0 st
MiB Mem :  15656.1 total,   1102.4 free,  12499.6 used,   2054.1 buff/cache
MiB Swap:   7828.0 total,   7828.0 free,      0.0 used.   2838.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    912 root      20   0    9116   2632   2388 R 100.0   0.0  24:56.22 cron
  21074 ghost     20   0   19.6g 387608 171620 S  75.0   2.4   4:29.46 compone+
  21076 ghost     20   0   17.6g 776004  88700 S  18.8   4.8   1:00.46 compone+
    585 root      rt   0       0      0      0 S   6.2   0.0   0:12.48 sugov:0
  21072 ghost     20   0  568452  24264  15240 S   6.2   0.2   0:03.17 odom_co+
  30740 ghost     20   0   17.6g 751336  83668 S   6.2   4.7   0:08.70 compone+
      1 root      20   0  168252  11640   7388 S   0.0   0.1   0:06.71 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 S   0.0   0.0   0:01.56 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.48 rcu_pre+
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migrati+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.14 ksoftir+
     22 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     24 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftir+
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.13 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
